subid,age
9.3.14.1b,18
9.3.14.3,49
9.3.14.4,27
9.3.14.5,22
9.3.14.6,34
9.3.14.7,38
9.3.14.8b,16
9.4.14.1,40
9.4.14.2,26
9.4.14.3,25
9.4.14.4,65
